no,semester,tanggal,mata_kuliah,kelompok_kelas,topik,deskripsi
1,2025/2026 GENAP,2026-01-21,Advanced Software Engineering & DevOps,-,Session-01: General Lecture,"Overview of course objectives, evaluation methods, and introduction to modern software engineering and DevOps practices"
2,2025/2026 GENAP,2026-01-28,Advanced Software Engineering & DevOps,-,Session-02: Docker-based Software System,"Building and demonstrating a working software system using Docker containers, including multi-container configuration with Docker Compose"
3,2025/2026 GENAP,2026-02-04,Advanced Software Engineering & DevOps,-,Session-03: Observability in Software Systems,"Understanding the three pillars of observability: metrics, logs, and traces. Implementing a monitoring and observability stack for distributed systems"
4,2025/2026 GENAP,2026-02-11,Advanced Software Engineering & DevOps,-,Session-04: CI/CD of Software Systems,Designing and implementing continuous integration and continuous deployment pipelines using automation tools such as GitHub Actions or Jenkins
5,2025/2026 GENAP,2026-02-18,Advanced Software Engineering & DevOps,-,Session-05: Security in Software Systems (SecDevOps),"Applying secure development lifecycle, threat modeling, and integrating security practices into CI/CD pipelines"
6,2025/2026 GENAP,2026-02-25,Advanced Software Engineering & DevOps,-,Session-06: Infrastructure as Code in Software Systems,Managing infrastructure using code with tools like Terraform and Docker Compose to ensure reproducibility and environment consistency
7,2025/2026 GENAP,2026-03-04,Advanced Software Engineering & DevOps,-,Session-07: Software System Orchestration,"Coordinating multi-service systems using orchestration tools and patterns, including Kubernetes concepts for deployment and scaling"
8,2025/2026 GENAP,2026-03-11,Advanced Software Engineering & DevOps,-,Session-08: Model-based Automated Software Infrastructure and Orchestration,Using models to declaratively define and automate infrastructure and orchestration configurations
9,2025/2026 GENAP,2026-03-18,Advanced Software Engineering & DevOps,-,Session-09: Model-Driven Software Engineering,"Applying Model-Driven Engineering (MDE) principles to abstract, design, and generate software systems from models"
10,2025/2026 GENAP,2026-04-01,Advanced Software Engineering & DevOps,-,Session-10: Textual Domain Specific Language,Designing and implementing textual DSLs for configuration and automation using grammar-based tools such as Xtext
11,2025/2026 GENAP,2026-04-08,Advanced Software Engineering & DevOps,-,Session-11: Visual Domain Specific Language,Developing graphical DSLs to represent systems using diagrams and visual modeling frameworks such as Sirius
12,2025/2026 GENAP,2026-04-15,Advanced Software Engineering & DevOps,-,Session-12: Projectional Domain Specific Language,Exploring projectional editing and structure-based DSLs using tools like JetBrains MPS for flexible language design
13,2025/2026 GENAP,2026-04-22,Advanced Software Engineering & DevOps,-,Session-13: Model to Model/Text Transformation,Transforming models into other models or executable code using transformation techniques and tools such as ATL and Acceleo
14,2025/2026 GENAP,2026-04-29,Advanced Software Engineering & DevOps,-,Session-14: Model Validation and Verification,"Ensuring model correctness through constraints, validation rules, and verification techniques such as OCL and model checking"
15,2025/2026 GENAP,2026-05-06,Advanced Software Engineering & DevOps,-,Session-15: LLM Multi-agent Architecture,Designing and implementing multi-agent architectures based on Large Language Models (LLM) with MCP for specific use cases
